davfs2 1.6.1-1
db 5.3.28-5
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
ddcutil 1.3.0-1
debtap 3.5.1-1
debuginfod 0.187-2
deepin-udis86 1.72_4-1
deepin-wine-helper 5.1.42_1-1
deepin-wine-plugin 5.1.13-1
deepin-wine-plugin-virtual 5.1.13-1
deepin-wine-wechat 3.7.6.44-1
deepin-wine6-stable 6.0.0.39-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
devtools 20221012-1
dex 0.9.0-1
dhcp 4.4.3.P1-1
dhcpcd 9.4.1-1
diffutils 3.8-1
directx-headers 1.606.4-1
discord 0.0.20-1
discount 2.2.7.b-1
discover 5.26.0-1
distorm 3.5.2-3
djvulibre 3.5.28-3
dkms 3.0.7-1
dmenu 5.2-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.87-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.19-1
dolphin 22.08.2-1
dolphin-plugins 22.08.2-1
dosbox 0.74.3-2
dosfstools 4.2-2
dotnet-host 6.0.10.sdk110-1
dotnet-runtime 6.0.10.sdk110-1
dotnet-sdk 6.0.10.sdk110-1
dotnet-targeting-pack 6.0.10.sdk110-1
double-conversion 3.2.1-1
downgrade 11.2.1-1
doxygen 1.9.3-1
draco 1.5.3-1
drkonqi 5.26.0-1
dtc 1.6.1-4
duf 0.8.1-2
duktape 2.7.0-4
dune 3.4.1-2
dvdauthor 0.7.2-11
dvgrab 3.5-12
dxvk-bin 1.10.3-1
e2fsprogs 1.46.5-4
easy-rsa 3.1.0-1
easyeffects 6.3.0-1
ebook-tools 0.2.2-7
eclipse-ecj 4.22-2
eclipse-emf 2.19-2
eclipse-platform 4.25-1
ed 1.18-1
editorconfig-core-c 0.12.5-1
edk2-armvirt 202208-1
edk2-ovmf 202208-1
efibootmgr 18-1
efivar 38-2
electron 20.0.3-2
electron-netease-cloud-music 0.9.36-1
electron17 17.4.11-2
elementary-icon-theme 7.1.0-1
elfutils 0.187-2
elisa 22.08.2-1
emacs-ctable 0.1.2-3
emacs-deferred 0.5.1-2
emacs-epc 0.1.1-4
emacs-git 29.0.50.160536-1
embree 3.13.5-1
enca 1.19-4
enchant 2.3.3-1
erlang-nox 25.1.1-1
esp8266-nonos-sdk 3.0.4-1
esptool 4.3-1
ethtool 1:5.19-1
eventviews 22.08.2-1
exa 0.10.1-6
exfatprogs 1.1.3-1
exiv2 0.27.5-3
expac 10-5
expat 2.4.9-1
extra-cmake-modules 5.99.0-1
f2fs-tools 1.15.0-2
faac 1.30-3
faad2 2.10.0-1
fail2ban 1.0.1-2
fakeroot 1.29-1
farstream 0.2.9-3
fastfetch-git r962.23bccc4-1
faudio 22.10-1
fceux 2.6.4-2
fcgi 2.4.2-2
fcitx5 5.0.19-1
fcitx5-anthy 5.0.12-1
fcitx5-breeze 2.0.0-1
fcitx5-chewing 5.0.12-1
fcitx5-chinese-addons 5.0.15-2
fcitx5-configtool 5.0.15-1
fcitx5-gtk 5.0.19-1
fcitx5-lua 5.0.10-1
fcitx5-m17n 5.0.10-1
fcitx5-material-color 0.2.1-1
fcitx5-nord 0.0.0.20210116-1
fcitx5-pinyin-moegirl 20220925-1
fcitx5-pinyin-zhwiki 1:0.2.4.20220909-1
fcitx5-qt 5.0.15-1
fcitx5-skin-fluentdark-git v0.3.0.r0.g7755620-2
fcitx5-table-extra 5.0.11-1
fcitx5-table-other 5.0.10-1
fd 8.4.0-1
feh 3.9.1-2
ffcall 2.4-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
ffmpegthumbs 22.08.2-1
ffms2 2.40-3
ffnvcodec-headers 11.1.5.1-2
fftw 3.3.10-3
figlet 2.2.5-4
file 5.43-1
filebrowser-bin 2.22.4-1
filelight 22.08.2-1
filesystem 2021.12.07-1
filezilla 3.61.0-2
findutils 4.9.0-1
fingerprint-gui 1.09-7
fio 3.32-1
firefox-appmenu 104.0.2-7
firewalld 1.2.1-1
flac 1.4.1-2
flameshot 12.1.0-1
flashrom 1.2-4
flatpak 1:1.14.0-1
flex 2.6.4-3
flightgear 2020.3.15-1
flightgear-data 2020.3.15-1
flite 2.2-1
fltk 1.3.8-1
fluidsynth 2.3.0-2
fmt 9.1.0-1
fontconfig 2:2.14.0-1
fonts-cjk-sc-opposans 1.0.2-2
fpc 3.2.2-6
fpc-src 3.2.2-2
fprintd 1.94.2-1
frameworkintegration 5.99.0-1
freealut 1.1.0-8
freecell-solver 6.6.0-1
freeglut 3.4.0-1
freerdp 2:2.8.1-1
freetype2 2.12.1-1
frei0r-plugins 1.8.0-2
fribidi 1.0.12-1
frpc 0.42.0-1
frps 0.42.0-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
fwupd 1.8.6-1
fwupd-efi 1.3-1
fzf 0.34.0-1
gamemode 1.7-1
gamescope 3.11.47-1
gavl 1.4.0-6
gawk 5.2.0-3
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gconf 3.2.6+11+g07808097-11
gcr 3.41.1-2
gd 2.3.3-4
gdal 3.5.1-5
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gdl 3.40.0-1
gedit 42.2-1
gegl 0.4.38-1
gendesk 1.0.9-3
geoclue 2.6.0-2
geocode-glib 3.26.4-1
geoip 1.6.12-2
geoip-database 20220823-1
geoipupdate 4.10.0-2
geos 3.11.0-1
gettext 0.21.1-1
ghex 42.3-1
ghostpcl 10.0.0-1
ghostscript 10.0.0-1
ghostxps 10.0.0-1
giblib 1.2.4-9
giflib 5.2.1-2
gimp 2.10.32-2
git 2.38.0-1
git-delta 0.14.0-2
git-lfs 3.2.0-1
github-cli 2.17.0-1
glew 2.2.0-5
glew1.10 1.10.0-3
glfw-wayland 3.3.8-1
glib-networking 1:2.74.0-1
glib2 2.74.0-2
glib2-docs 2.74.0-2
glibc 2.36-6
glibmm 2.66.5-1
glslang 11.11.0-1
glu 9.0.2-3
glusterfs 1:10.3-1
gmic 3.1.6-1
gmp 6.2.1-2
